P_TOTAL,POB0_4,POB18_,PNACOENT,GRADOESCO,PCASADA12_,P_1SM,P1_2SM,P2_5SM,P6_10SM,P10_SM,T_VIVHAB,VIVPARHAB,PRO_OCVP,PRO_OVP,VP_TV,TOTHOG
79.0,11.0,46.0,12.0,4.0,24.0,1.0,10.0,4.0,0.0,1.0,15.0,15.0,2.32,5.27,13.0,15.0
1059.0,160.0,530.0,226.0,6.0,394.0,33.0,144.0,161.0,6.0,4.0,201.0,201.0,2.09,5.27,191.0,212.0
69.0,3.0,44.0,5.0,5.0,22.0,6.0,16.0,4.0,0.0,1.0,12.0,12.0,1.86,5.75,12.0,12.0
588.0,74.0,326.0,57.0,5.0,232.0,9.0,102.0,79.0,3.0,1.0,116.0,116.0,1.76,5.07,113.0,121.0
177.0,17.0,100.0,15.0,5.0,56.0,4.0,22.0,15.0,0.0,1.0,35.0,35.0,1.72,5.06,34.0,35.0
264.0,49.0,121.0,15.0,6.0,93.0,8.0,23.0,22.0,2.0,0.0,53.0,53.0,2.37,4.98,41.0,55.0
383.0,50.0,229.0,38.0,7.0,155.0,4.0,28.0,61.0,6.0,1.0,79.0,79.0,1.59,4.85,75.0,88.0
947.0,119.0,488.0,200.0,5.0,343.0,35.0,91.0,55.0,4.0,3.0,207.0,207.0,1.55,4.57,199.0,210.0
873.0,112.0,435.0,67.0,5.0,352.0,16.0,94.0,45.0,4.0,0.0,195.0,195.0,1.62,4.48,187.0,195.0
11.0,1.0,9.0,0.0,6.0,6.0,1.0,2.0,3.0,0.0,0.0,3.0,3.0,1.83,3.67,3.0,3.0
42.0,7.0,27.0,2.0,5.0,20.0,3.0,3.0,7.0,0.0,0.0,10.0,10.0,2.0,4.2,9.0,10.0
200.0,35.0,104.0,13.0,5.0,76.0,2.0,30.0,32.0,1.0,0.0,36.0,36.0,2.35,5.56,34.0,38.0
280.0,33.0,155.0,38.0,5.0,106.0,12.0,46.0,24.0,2.0,1.0,58.0,58.0,1.69,4.83,53.0,58.0
33.0,7.0,18.0,6.0,7.0,16.0,0.0,3.0,5.0,1.0,0.0,7.0,7.0,1.65,4.71,7.0,7.0
38.0,5.0,15.0,10.0,3.0,8.0,0.0,10.0,1.0,0.0,0.0,6.0,6.0,2.0,6.33,6.0,6.0
468.0,71.0,251.0,106.0,5.0,186.0,5.0,75.0,61.0,0.0,1.0,81.0,81.0,2.55,5.78,75.0,100.0
1899.0,218.0,1027.0,70.0,7.0,708.0,11.0,246.0,234.0,15.0,4.0,349.0,349.0,1.95,5.44,337.0,368.0
2022.0,277.0,1111.0,213.0,8.0,783.0,28.0,201.0,357.0,51.0,7.0,398.0,394.0,1.51,5.09,383.0,414.0
197.0,16.0,88.0,13.0,4.0,53.0,7.0,32.0,8.0,0.0,0.0,36.0,36.0,1.99,5.47,33.0,36.0
2096.0,316.0,990.0,270.0,5.0,743.0,78.0,314.0,223.0,17.0,6.0,371.0,371.0,2.37,5.65,342.0,378.0
225.0,36.0,108.0,69.0,5.0,86.0,6.0,32.0,21.0,1.0,0.0,42.0,41.0,2.23,5.39,41.0,45.0
1287.0,170.0,727.0,174.0,7.0,519.0,36.0,199.0,199.0,21.0,5.0,263.0,263.0,1.4,4.89,259.0,275.0
20.0,1.0,12.0,5.0,8.0,6.0,0.0,3.0,4.0,0.0,0.0,3.0,3.0,1.43,6.67,3.0,3.0
975.0,159.0,464.0,140.0,5.0,356.0,36.0,148.0,87.0,5.0,3.0,194.0,191.0,2.63,5.04,144.0,204.0
87.0,9.0,43.0,2.0,6.0,30.0,4.0,9.0,6.0,0.0,0.0,18.0,17.0,2.08,4.88,14.0,17.0
1495.0,182.0,773.0,168.0,6.0,556.0,32.0,196.0,189.0,11.0,3.0,264.0,264.0,1.82,5.66,251.0,286.0
323.0,24.0,184.0,42.0,6.0,107.0,10.0,64.0,40.0,1.0,1.0,60.0,60.0,1.9,5.38,58.0,62.0
830.0,109.0,463.0,77.0,7.0,330.0,14.0,128.0,108.0,6.0,6.0,160.0,160.0,2.29,5.19,155.0,170.0
17.0,1.0,8.0,0.0,9.0,6.0,0.0,1.0,2.0,0.0,1.0,3.0,3.0,1.42,5.67,3.0,3.0
302.0,38.0,162.0,9.0,4.0,122.0,22.0,67.0,23.0,0.0,0.0,56.0,56.0,2.27,5.39,50.0,58.0
51.0,8.0,24.0,2.0,5.0,20.0,0.0,12.0,5.0,0.0,0.0,9.0,9.0,2.43,5.67,9.0,9.0
139.0,22.0,76.0,24.0,5.0,58.0,1.0,21.0,18.0,0.0,2.0,23.0,23.0,2.07,6.04,23.0,27.0
13.0,1.0,8.0,11.0,5.0,6.0,0.0,7.0,0.0,0.0,0.0,3.0,3.0,1.3,4.33,3.0,3.0
404.0,36.0,231.0,22.0,5.0,182.0,7.0,37.0,14.0,2.0,0.0,99.0,99.0,1.48,4.08,89.0,100.0
14.0,1.0,8.0,0.0,4.0,6.0,0.0,1.0,1.0,0.0,0.0,3.0,3.0,0.93,4.67,2.0,3.0
72.0,9.0,36.0,21.0,4.0,19.0,4.0,23.0,5.0,1.0,0.0,12.0,12.0,2.25,6.0,11.0,13.0
211.0,26.0,115.0,13.0,7.0,83.0,5.0,48.0,13.0,2.0,2.0,42.0,42.0,1.67,5.02,40.0,44.0
42.0,5.0,28.0,0.0,6.0,19.0,0.0,3.0,7.0,0.0,0.0,11.0,11.0,2.33,3.82,10.0,11.0
893.0,106.0,472.0,39.0,6.0,307.0,14.0,111.0,107.0,5.0,1.0,163.0,163.0,1.95,5.48,148.0,182.0
158.0,18.0,70.0,2.0,5.0,51.0,4.0,26.0,9.0,0.0,0.0,28.0,28.0,2.47,5.64,27.0,28.0
3568.0,501.0,1754.0,75.0,6.0,1317.0,65.0,440.0,592.0,38.0,7.0,705.0,704.0,1.86,5.06,648.0,720.0
21.0,1.0,9.0,0.0,6.0,4.0,0.0,6.0,2.0,0.0,0.0,3.0,3.0,2.63,7.0,3.0,3.0
43.0,5.0,26.0,3.0,7.0,13.0,0.0,13.0,6.0,0.0,0.0,5.0,5.0,2.69,8.6,5.0,5.0
26.0,4.0,15.0,0.0,4.0,10.0,0.0,5.0,3.0,0.0,0.0,5.0,5.0,1.73,5.2,4.0,5.0
13.0,2.0,7.0,5.0,12.0,6.0,0.0,1.0,2.0,1.0,0.0,3.0,2.0,1.0,4.5,2.0,2.0
246.0,34.0,137.0,35.0,5.0,99.0,10.0,50.0,27.0,2.0,0.0,37.0,37.0,1.98,6.65,34.0,48.0
180.0,9.0,41.0,57.0,7.0,14.0,13.0,12.0,4.0,0.0,0.0,6.0,5.0,2.75,6.6,4.0,7.0
22.0,3.0,12.0,2.0,5.0,8.0,2.0,4.0,2.0,0.0,0.0,4.0,4.0,2.44,5.5,4.0,4.0
30.0,6.0,12.0,4.0,6.0,10.0,0.0,5.0,2.0,0.0,0.0,5.0,5.0,3.0,6.0,5.0,5.0
58.0,7.0,29.0,2.0,5.0,16.0,4.0,8.0,5.0,1.0,0.0,9.0,9.0,2.64,6.44,6.0,9.0
32.0,2.0,15.0,1.0,5.0,10.0,0.0,4.0,4.0,0.0,0.0,5.0,5.0,2.91,6.4,5.0,5.0
14.0,2.0,7.0,4.0,4.0,6.0,0.0,4.0,0.0,0.0,0.0,3.0,3.0,2.0,4.67,3.0,3.0
35.0,1.0,21.0,6.0,2.0,14.0,2.0,9.0,2.0,0.0,0.0,7.0,7.0,2.69,5.0,6.0,7.0
158.0,19.0,68.0,9.0,5.0,44.0,4.0,25.0,20.0,2.0,0.0,24.0,24.0,2.98,6.58,22.0,24.0
385.0,75.0,184.0,108.0,6.0,156.0,12.0,45.0,51.0,5.0,2.0,77.0,77.0,2.03,5.0,69.0,81.0
64.0,3.0,29.0,1.0,6.0,17.0,0.0,23.0,3.0,0.0,0.0,8.0,8.0,3.76,8.0,7.0,8.0
210.0,20.0,128.0,103.0,12.0,75.0,4.0,11.0,23.0,15.0,14.0,54.0,50.0,0.85,3.88,50.0,50.0
21.0,3.0,10.0,0.0,2.0,5.0,1.0,0.0,5.0,0.0,0.0,3.0,3.0,4.2,7.0,2.0,3.0
91.0,5.0,60.0,4.0,4.0,38.0,6.0,9.0,7.0,0.0,0.0,20.0,20.0,2.12,4.55,19.0,20.0
71.0,5.0,45.0,9.0,6.0,20.0,0.0,9.0,25.0,1.0,0.0,12.0,12.0,2.09,5.92,12.0,12.0
30.0,2.0,12.0,0.0,4.0,9.0,0.0,6.0,3.0,0.0,0.0,4.0,4.0,2.0,7.5,4.0,4.0
22.0,2.0,17.0,5.0,3.0,10.0,0.0,5.0,2.0,1.0,0.0,5.0,5.0,2.75,4.4,4.0,5.0
17.0,4.0,6.0,1.0,9.0,4.0,1.0,3.0,0.0,1.0,0.0,3.0,3.0,2.83,5.67,3.0,3.0
14.0,0.0,7.0,8.0,5.0,6.0,0.0,3.0,1.0,0.0,0.0,3.0,3.0,1.27,4.67,3.0,3.0
13.0,1.0,10.0,2.0,6.0,6.0,2.0,2.0,3.0,0.0,0.0,3.0,3.0,0.93,4.33,3.0,3.0
49.0,5.0,26.0,13.0,8.0,19.0,0.0,9.0,2.0,3.0,2.0,10.0,10.0,1.26,4.9,10.0,10.0
371.0,35.0,246.0,175.0,12.0,163.0,3.0,20.0,50.0,25.0,33.0,97.0,97.0,0.82,3.82,96.0,98.0
21.0,5.0,12.0,1.0,5.0,10.0,0.0,6.0,3.0,0.0,0.0,5.0,5.0,2.63,4.2,5.0,5.0
12.0,2.0,9.0,6.0,7.0,10.0,1.0,3.0,1.0,0.0,1.0,4.0,4.0,0.92,3.0,3.0,4.0
26.0,2.0,11.0,3.0,3.0,8.0,0.0,9.0,2.0,0.0,0.0,5.0,4.0,2.44,5.5,4.0,4.0
22.0,4.0,11.0,3.0,6.0,11.0,0.0,0.0,4.0,1.0,0.0,6.0,6.0,1.47,3.67,6.0,6.0
40.0,4.0,25.0,3.0,4.0,13.0,2.0,4.0,0.0,0.0,0.0,7.0,7.0,2.0,5.71,6.0,7.0
888.0,97.0,480.0,157.0,5.0,329.0,23.0,170.0,132.0,5.0,4.0,163.0,163.0,2.14,5.45,155.0,174.0
916.0,117.0,463.0,109.0,6.0,338.0,17.0,130.0,129.0,4.0,1.0,164.0,164.0,2.14,5.59,150.0,170.0
21.0,5.0,7.0,2.0,8.0,7.0,0.0,2.0,0.0,1.0,0.0,4.0,4.0,1.91,5.25,4.0,4.0
13.0,3.0,10.0,7.0,5.0,10.0,0.0,1.0,3.0,0.0,0.0,5.0,5.0,0.93,2.6,4.0,5.0
11.0,0.0,7.0,2.0,5.0,4.0,0.0,4.0,0.0,0.0,0.0,3.0,3.0,1.22,3.67,3.0,3.0
27.0,2.0,14.0,7.0,5.0,10.0,0.0,6.0,4.0,0.0,0.0,5.0,5.0,2.7,5.4,5.0,5.0
18.0,3.0,10.0,4.0,4.0,8.0,3.0,2.0,0.0,0.0,0.0,4.0,4.0,2.0,4.5,3.0,4.0
